测试图片,最佳匹配武器ID,匹配度
202505040048180001.png,16,74.00
202505040048190002.png,16,73.90
202505040050340001.png,16,77.09
202505040050350002.png,16,78.19
202505040050430003.png,16,80.01
202505040050440004.png,16,80.21
202505040050500005.png,16,74.47
202505040050510006.png,16,74.78
202505040050560007.png,16,74.71
202505040050570008.png,16,71.96
202505040052420009.png,16,55.87
202505040052430010.png,16,56.77
202505040054120001.png,16,48.34
202505040054130002.png,16,48.82
202505040054210003.png,16,44.15
202505040054220004.png,16,45.72
202505040056240005.png,2,32.71
202505040104170001.png,13,77.59
202505040104570002.png,16,90.21
202505040104580003.png,16,90.06
202505040105150004.png,16,87.03
202505040105160005.png,16,87.93
202505040105230006.png,16,88.71
202505040105240007.png,16,88.95
202505040107120008.png,16,44.43
202505040107130009.png,16,32.13
202505040107170010.png,16,91.59
202505040107180011.png,16,83.31
202505040109320012.png,13,50.00
202505040109550013.png,13,49.61
202505040133360001.png,13,81.89
202505040134020002.png,14,78.77
202505040134030003.png,14,76.39
202505040134150004.png,14,98.64
202505040134160005.png,14,95.95
202505040139570001.png,17,33.19
202505040139590002.png,17,33.12
202505040155010001.png,2,86.60
202505040159490002.png,20,79.07
202505040159490003.png,2,84.51
202505040159500004.png,2,84.52
202505040202340001.png,2,77.87
202505040203440001.png,2,78.52
202505040209410001.png,2,85.25
202505040209510002.png,16,62.90
202505040209520003.png,16,50.82
202505040210080004.png,16,95.65
202505040210100005.png,16,95.07
202505040537250001.png,2,86.79
202505040537350002.png,2,87.10
202505040541240001.png,2,47.67
202505040541320002.png,2,53.38
202505040541510003.png,16,58.63
202505040541520004.png,16,70.16
202505040543130005.png,16,52.75
202505040543140006.png,16,53.24
202505040545210007.png,16,53.24
202505040545220008.png,16,71.43
202505040555200001.png,14,-5.00
202505040555210002.png,14,-5.00
202505040555570003.png,16,77.69
202505040555580004.png,16,77.69
202505040556070005.png,16,77.69
202505040556080006.png,16,77.69
202505040557010007.png,2,85.99
202505040557070008.png,2,86.58
202505040557140009.png,20,84.24
202505040557220010.png,2,87.13
202505040557280011.png,20,84.13
202505040557430012.png,16,88.27
202505040557440013.png,16,88.11
202505040557560014.png,16,65.21
202505040557570015.png,16,86.78
202505040558060016.png,2,88.11
202505040558320017.png,2,86.03
202505040558420018.png,16,88.34
202505040558430019.png,16,71.05
202505040559150020.png,16,59.74
202505040559160021.png,16,55.12
202505040614570001.png,2,86.76
202505040615030002.png,20,83.42
202505040615120003.png,16,81.22
202505040615130004.png,16,81.27
202505040615270005.png,16,87.19
202505040615280006.png,16,85.67
202505040627440001.png,13,14.71
202505040627450002.png,13,14.71
202505040653260001.png,2,81.21
202505040654090002.png,2,81.10
202505040654150003.png,2,80.73
202505040654190004.png,2,80.22
202505040654290005.png,2,82.15
202505040654320006.png,2,83.01
202505040655030007.png,16,91.22
202505040655050008.png,16,90.32
202505040655110009.png,16,88.34
202505040655130010.png,16,92.01
202505040656050011.png,16,82.82
202505040656070012.png,16,91.38
202505040657500013.png,20,78.81
202505040657570014.png,16,90.60
202505040657580015.png,16,55.12
202505040658510001.png,16,93.16
202505040658530002.png,16,93.03
202505040714460001.png,2,82.87
202505040716260002.png,20,67.73
202505040716270003.png,20,67.74
202505040717080001.png,2,84.70
202505040718050001.png,2,66.41
202505040719080001.png,2,49.79
202505040719390001.png,16,63.26
202505040719400002.png,16,62.09
202505040719580003.png,16,69.69
202505040719590004.png,16,69.87
202505040724200001.png,16,88.12
202505040724580001.png,16,89.91
202505040726220001.png,16,87.15
202505040729160001.png,16,48.53
202505040731510001.png,16,88.33
202505040732540001.png,16,49.44
202505040732550002.png,16,55.60
202505040733200001.png,16,49.99
202505040733210002.png,16,44.52
202505040734310001.png,16,89.03
202505040734320002.png,16,89.00
202505040736120001.png,16,91.28
202505040736130002.png,16,91.15
202505040740350003.png,17,37.60
202505040740360004.png,17,45.66
202505040740400005.png,17,45.78
202505040740410006.png,17,30.72
202505040745480001.png,16,82.09
202505040745490002.png,16,81.09
202505040746180003.png,2,82.17
202505040746260004.png,2,81.93
202505040746340005.png,16,77.73
202505040746350006.png,16,77.91
202505040746550007.png,16,78.40
202505040746560008.png,16,77.46
202505040756540001.png,2,79.46
202505040757250001.png,16,82.47
202505040757270002.png,16,81.53
202505040757360003.png,16,88.86
202505040757370004.png,16,88.52
202505040758500001.png,16,89.87
202505040758510002.png,16,90.33
202505040759160003.png,16,89.53
202505040759170004.png,16,89.96
202505040806170001.png,16,27.89
202505040811070001.png,2,83.20
202505040811170002.png,2,82.40
202505040811300003.png,16,90.23
202505040811310004.png,16,90.04
202505040812020005.png,16,85.85
202505040812030006.png,16,82.86
202505040823260001.png,16,55.45
202505040823280002.png,16,54.24
202505040827500003.png,16,57.78
202505040827510004.png,16,58.30
202505040827520005.png,16,59.16
202505040827530006.png,16,59.89
202505040847320001.png,16,58.72
202505040847330002.png,16,56.48
202505040855030003.png,20,79.40
202505040856280004.png,16,88.61
202505040856290005.png,16,90.28
202505040856330006.png,16,56.04
202505040856350007.png,16,62.25
202505040913160001.png,40,16.00
202505040913560002.png,16,33.41
202505040914260003.png,16,77.69
202505040915000004.png,16,77.69
202505040916340005.png,16,77.69
202505040916360006.png,20,68.39
202505040916410007.png,16,77.69
202505040917290008.png,16,77.69
202505040917360009.png,20,68.39
202505040919020001.png,16,77.69
202505040919150002.png,16,77.69
202505040919480003.png,20,68.39
202505040919490004.png,16,77.69
202505040926530001.png,33,-2.94
202505040926590002.png,33,-2.94
202505040928360003.png,16,77.69
202505040928480004.png,16,77.69
202505040928540005.png,2,78.14
202505040928570006.png,20,66.07
202505040929060007.png,16,77.69
202505041417130001.png,2,82.01
202505041417150002.png,2,82.19
202505041417160003.png,2,83.14
202505041417170004.png,2,82.30
202505041417190005.png,2,83.16
202505041417230006.png,20,77.78
202505041417420007.png,2,78.14
202505041418420008.png,2,80.59
202505041419030009.png,2,84.03
202505041419140010.png,7,76.17
202505041419360011.png,6,75.65
202505041419510012.png,16,44.24
202505041421250013.png,16,60.96
202505041449010001.png,16,77.69
202505041449110002.png,16,77.69
202505041449320003.png,2,78.14
202505041457570001.png,16,72.53
202505041458000002.png,16,72.03
202505041458070003.png,20,66.31
202505041458320004.png,2,84.91
202505041458380005.png,2,87.10
202505041458400006.png,16,73.08
202505041458450007.png,2,89.40
202505041501010008.png,16,70.84
202505041501230001.png,16,79.16
202505041501300002.png,2,76.83
202505041501370003.png,1,62.81
202505041501430004.png,3,78.52
202505041501590005.png,4,42.91
202505041502050006.png,38,43.08
202505041502070007.png,43,66.68
202505041502090008.png,43,61.99
202505041502120009.png,43,72.44
202505041502130010.png,43,72.53
202505041502170011.png,43,72.42
202505041502190012.png,43,72.51
202505041502350013.png,5,81.44
202505041502420014.png,20,51.84
202505041502490015.png,2,49.84
202505041502520016.png,42,63.26
202505041502570017.png,20,52.29
202505041503110018.png,16,79.67
202505041503130019.png,16,74.62
202505041503150020.png,16,46.99
202505041503160021.png,16,52.01
202505041503250022.png,16,46.93
202505041503380023.png,7,58.33
202505041503450024.png,8,47.48
202505041503510025.png,9,86.43
202505041503590026.png,10,63.98
202505041504060027.png,25,94.90
202505041504100028.png,25,78.87
202505041504130029.png,42,72.28
202505041504150030.png,42,74.45
202505041504230031.png,42,78.30
202505041504330032.png,35,65.63
202505041504340033.png,35,65.75
202505041504380034.png,35,66.42
202505041504390035.png,35,63.52
202505041504440036.png,35,68.54
202505041504450037.png,35,63.94
202505041504480038.png,35,73.27
202505041504490039.png,35,73.06
202505041504560040.png,35,63.76
202505041505020041.png,35,60.04
202505041505290042.png,27,59.15
202505041505360043.png,27,62.85
202505041505370044.png,27,61.29
202505041505390045.png,27,75.69
